"SWSN_ID","SWSN_Site","EASTING","NORTHING"
1933,"AZ U:6:159",429958.809579283,3724457.04970011
1934,"LA 4030",677587.187707245,3805751.43767492
1935,"Morris 41",755977.405157894,4089105.04693094
1936,"LA 8116",733455.821273223,3837320.46601124
1937,"LA 8118",717219.092954591,3835433.75462018
1938,"LA 8119",717759.93686606,3851304.88664821
1939,"Lower Pescado Village",718886.895750284,3878029.49808262
1940,"LA 39315",727533.415225253,3653441.08555821
1941,"LA 46016",742942.99433741,3883272.30982195
1942,"Cerro Prieto--Quemado",714846.17431049,3831256.62714317
1943,"Hambassa:wa",698147.312345922,3870773.20124798
1944,"Beautiful Mountain",689854.093424901,4044383.31934734
1945,"Tse Taak'a",717864.619433746,4062727.82048345
1946,"Twin Towers",689787.982130319,4095023.772122
1947,"Tonache Tower",670117.900424272,4082394.82036382
1948,"Middle Mesa",465121.432186857,3934043.31333898
1949,"East Mesa",459112.516685992,3946447.61615358
1950,"NA 438",445263.7259866,3937324.77956824
1951,"NA 457",446016.762124568,3917159.10948187
1952,"NA 459",460566.125121236,3923579.83574577
1953,"North Mesa",458227.315967351,3942273.58791709
1955,"North Arrowhead Tank",464445.002948761,3940162.46992998
1956,"Juniper Terrace",458859.556979582,3934060.96295118
1957,"Cosnino Caves",461379.787071034,3894599.96668562
1958,"NA 264",458909.076894581,3898589.22115989
1959,"Two Kivas",461039.43402952,3904797.12334596
1960,"04-02-1819 (CNF)",454751.401617363,3908487.24051885
1961,"South of Winona",452849.032310009,3905758.3243899
1962,"NA 204995",462327.525305569,3934954.00428176
1963,"LA 432",727987.140348896,3882952.15122804
1964,"Ojo Caliente",691436.761919975,3856568.40301536
1965,"LA 490",721120.182571754,3906310.64766757
1966,"LA 1387",602605.469879568,3868467.34757438
1967,"Atsee Nitsaa",687269.649941519,3910045.68523712
1968,"LA 1707",851720.085884571,4033019.24974877
1969,"LA 1712",847042.897681907,4034762.96773058
1971,"Eckel",309664.408602908,3856712.47940791
1972,"First Fort",511039.142311335,3895760.53612396
1974,"NA 300-313",462882.67442888,3883809.10754427
1975,"Fourth Fort",450966.99405691,3903783.59901942
1976,"Walnut Headquarters",463956.024328902,3893279.55839291
1978,"Third Fort",447943.0094347,3903102.50413567
1984,"Tuzigoot",400600.687717319,3843424.39730752
1985,"LA 109858",726148.295820966,3898398.16800006
1987,"Allen & Becky",348060.810032174,3836469.96958286
1988,"Cox Ranch",709401.14259325,3804573.30293734
1989,"Largo Gap",731294.218314275,3802754.74612758
1991,"Big Mouth Cave",669246.181872308,3908215.89964174
1992,"Lynx Creek",384160.758471102,3829815.37675643
1994,"12-05-0657 (TNF)",482291.923796728,3782497.68135162
